;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME,
1043,351043,1460.9,2631.9,1.80,769.2,72.0,0.2,697.1,920.8,27.8,44.1,0.0,0.2,61.1,434.2,0.3,201.5,0.0,0.0,0.0,151.6,32124.0,0,0,0,35,SALT LAKE,
1044,351044,489.1,856.6,1.75,210.8,0.3,0.7,209.8,281.4,0.0,0.3,0.3,0.3,27.6,77.2,0.5,104.5,0.0,0.0,19.8,50.9,33483.0,0,0,0,35,SALT LAKE,
1045,351045,154.6,305.6,1.98,308.0,6.0,1.0,301.0,324.0,6.0,0.0,1.0,0.0,13.0,18.2,254.7,15.2,0.0,0.0,0.0,16.0,67836.0,0,0,0,35,SALT LAKE,
1046,351046,289.6,541.8,1.87,50.0,17.7,6.2,26.1,79.9,17.3,0.3,1.0,5.2,2.3,10.3,11.3,2.2,0.0,0.0,0.0,30.0,67836.0,0,0,0,35,SALT LAKE,
1047,351047,273.2,542.9,1.99,196.6,0.2,12.0,184.4,224.7,0.0,0.2,12.0,0.0,0.0,177.7,0.0,6.7,0.0,0.0,0.0,28.1,79722.0,342,0,0,35,SALT LAKE,
1048,351048,148.8,272.9,1.83,3241.0,55.5,27.5,3158.0,3256.1,26.7,28.8,20.5,7.0,21.5,581.3,2471.8,83.3,0.0,0.0,0.0,15.1,67836.0,0,0,0,35,SALT LAKE,
1049,351049,264.6,469.4,1.77,0.0,0.0,0.0,0.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,67836.0,0,0,0,35,SALT LAKE,
1050,351050,300.0,559.2,1.86,0.2,0.0,0.0,0.2,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,31.1,79722.0,0,0,0,35,SALT LAKE,
1051,351051,701.5,1078.5,1.54,0.0,0.0,0.0,0.0,72.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.9,43936.0,0,0,0,35,SALT LAKE,
1052,351052,538.6,909.8,1.69,210.3,127.8,0.5,82.0,266.2,127.6,0.2,0.5,0.0,0.8,19.2,19.7,42.3,0.0,0.0,0.0,55.9,51224.0,0,0,0,35,SALT LAKE,
1053,351053,631.2,998.9,1.58,928.3,79.8,53.0,795.5,993.7,7.3,72.5,18.8,34.2,360.1,31.3,60.0,344.1,0.0,0.0,0.0,65.4,42637.0,288,82,0,35,SALT LAKE,
1054,351054,591.6,960.7,1.62,26.1,19.8,0.3,6.0,87.6,19.2,0.7,0.0,0.3,1.8,0.5,0.0,3.7,0.0,0.0,0.0,61.4,38415.0,0,0,0,35,SALT LAKE,
1055,351055,49.3,109.0,2.21,26.0,0.0,0.0,26.0,31.0,0.0,0.0,0.0,0.0,1.3,24.3,0.0,0.3,0.0,0.0,0.0,5.0,89861.0,0,0,0,35,SALT LAKE,
1056,351056,424.1,975.8,2.30,310.0,3.0,0.0,307.0,355.1,0.0,3.0,0.0,0.0,0.0,18.2,286.8,2.0,0.0,0.0,1.2,43.9,205487.0,0,0,0,35,SALT LAKE,
1057,351057,730.5,1241.8,1.70,1056.7,18.1,4.0,1034.6,1132.5,15.6,2.5,3.0,1.0,181.6,11.5,53.7,787.8,0.0,0.0,0.0,75.7,42334.0,0,0,0,35,SALT LAKE,
1058,351058,481.3,830.9,1.73,145.0,54.5,0.0,90.5,194.9,19.8,34.7,0.0,0.0,2.3,1.3,50.7,36.2,0.0,0.0,0.0,49.9,59811.0,0,0,0,35,SALT LAKE,
1059,351059,399.7,746.0,1.87,304.3,28.5,11.7,264.2,345.8,7.2,21.3,0.0,11.7,13.2,38.0,15.6,197.4,0.0,0.0,0.0,41.4,89861.0,0,0,0,35,SALT LAKE,
1060,351060,166.8,262.4,1.57,1175.8,18.7,220.5,936.6,1192.9,15.0,3.7,16.2,204.3,174.8,7.7,221.3,532.8,0.0,0.0,0.0,17.1,27676.0,0,0,0,35,SALT LAKE,
1061,351061,273.0,433.0,1.59,1366.1,37.3,5.8,1322.9,1394.5,24.0,13.3,4.8,1.0,663.9,30.5,135.1,493.3,0.0,0.0,0.2,28.2,27676.0,0,0,0,35,SALT LAKE,
1062,351062,304.6,505.9,1.66,753.6,16.7,10.0,726.9,785.1,10.0,6.7,1.0,9.0,100.9,254.3,213.8,157.8,0.0,0.0,0.0,31.6,27676.0,0,254,254,35,SALT LAKE,
1063,351063,434.6,721.1,1.66,307.1,54.7,0.0,252.5,352.3,18.2,36.5,0.0,0.0,35.3,41.0,89.6,86.5,0.0,0.0,0.0,45.2,27676.0,0,86,86,35,SALT LAKE,
